Dataset,p,alpha,RCBS_solution,RCBS_time,DL-RCBS_solution,DL-RCBS_time,ARCBS_solution,ARCBS_time,DL-ARCBS_solution,DL-ARCBS_time,IRCBS_solution,IRCBS_time,DL-IRCBS_solution,DL-IRCBS_time,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
ap50,2,0.6,829529.1397,3.608,793150.6408,3.112,829529.1397,3.548,793150.6408,3.149,829529.1397,3.584,793150.6408,3.102,829529.1397,3.446,793150.6408,3.089,788608.2572,11.644
ap50,2,0.7,858003.5402,5.468,816855.7154,3.344,858003.5402,5.343,816855.7154,3.369,858003.5402,5.457,816855.7154,3.452,858003.5402,5.306,816855.7154,3.303,811274.1492,20.848
ap50,2,0.8,881846.7814,6.913,840513.9804,3.743,881846.7814,6.793,840513.9804,3.788,881846.7814,6.706,840513.9804,3.745,881846.7814,6.748,840513.9804,3.798,831311.3636,28.259
ap50,3,0.2,630153.7963,3.461,628616.3084,3.303,621163.096,2.76,628616.3084,3.338,630153.7963,4.237,610388.6697,2.85,620142.108,4.695,610388.6697,2.927,600581.179,5.694
ap50,3,0.3,662621.3045,3.893,657253.9182,4.034,650635.2004,3.338,657253.9182,3.829,662621.3045,5.071,643819.5726,6.232,650635.2004,6.859,643819.5726,4.211,635193.643,10.285
ap50,3,0.4,693471.044,6.325,685810.6702,5.726,679854.8298,5.378,685810.6702,5.491,693471.044,9.904,675717.1585,10.193,679854.8298,11.54,675717.1585,8.532,668444.4825,23.831
ap50,3,0.5,722482.8392,9.428,713586.6788,7.093,708170.713,10.954,713586.6788,6.587,722482.8392,11.376,707164.3917,14.548,708170.713,14.798,707164.3917,12.581,698834.287,37.482
ap50,3,0.6,750875.5783,9.099,741354.9088,11.182,735082.8953,13.903,741354.9088,11.864,750875.5783,10.644,736580.0387,14.898,735082.8953,15.901,736580.0387,19.044,726768.6618,41.024
ap50,3,0.7,778556.1329,7.686,769126.9916,12.958,760745.5327,12.639,769126.9916,13.299,778556.1329,13.661,764898.5757,23.739,760745.5327,19.05,764898.5757,24.474,753728.322,49.423
ap50,3,0.8,806225.2653,10.562,796898.3808,17.631,786119.7803,16.831,796898.3808,15.941,806225.2653,15.901,792480.7937,24.789,786119.7803,22.521,792480.7937,29.229,780492.4299,71.023
ap50,4,0.2,573857.9625,3.754,542977.7262,2.974,559191.0277,3.81,542960.403,3.986,558722.4184,4.122,539251.3648,3.951,550540.6064,4.96,538631.4647,6.304,538631.4647,9.816
ap50,4,0.3,615761.3788,5.48,581051.3165,3.87,600504.5522,8.869,581051.3165,7.369,596046.0151,5.265,575433.5343,6.008,587019.6346,12.227,575295.1201,9,575295.1201,15.718
ap50,4,0.4,652165.8245,5.558,617718.2552,7.96,641805.0544,14.421,617718.2552,14.598,631731.7438,6.339,611615.7037,9.464,623205.8209,20.658,611615.7037,12.842,611615.7033,32.212
ap50,4,0.5,686881.2524,9.078,652049.9946,7.726,682489.025,17.471,652049.9946,19.977,662582.3169,6.152,647797.8724,12.421,658563.622,24.351,647797.8724,21.336,644021.614,35.708
