dataset,p,alpha,obj(GVNS),time(GVNS),obj(DLHr-GVNS),time(DLHr-GVNS),obj(cplex),time(cplex)
ap100,8,0.7,640794.047,108.214,638641.574,118.231,637887.221,14673.548
ap100,9,0.3,456717.82,84.007,453653.572,46.283,452986.783,14659.238
ap100,9,0.5,542471.722,75.505,540544.553,81.635,538642.058,14476.758
ap100,9,0.7,625846.289,104.565,625258.891,117.751,625258.891,14471.04
ap100,10,0.3,436247.281,106.004,436346.687,86.791,435521.437,14400.719
ap100,10,0.5,530998.237,111.854,526510.935,82.481,528218.098,14400.781
ap100,10,0.7,616482.267,116.293,613107.099,124.23,621183.179,14400.551
ap,2,0.3,738209.624,0.308,738209.624,0.288,3166379.458,25496.369
ap,2,0.5,785564.44,1.883,785564.44,2.742,3170914.503,25432.325
ap,2,0.7,826592.068,0.433,826592.068,5.025,3175449.548,25313.46
ap,3,0.3,656008.549,1.172,656008.549,1.657,3149668.164,25313.932
ap,3,0.5,717274.068,1.45,717274.068,1.894,3165878.651,25386.695
ap,3,0.7,774653.855,2.506,774653.855,2.659,3182089.138,25380.315
ap,4,0.3,596284.29,3.833,596284.29,3.126,3176505.388,25247.39
ap,4,0.5,663269.701,39.908,663269.701,43.94,3217686.73,25296.506
ap,4,0.7,727744.152,60.872,727744.152,67.399,3258868.072,25331.099
ap,5,0.3,565512.693,221.143,565641.697,127.362,3165601.089,25292.285
ap,5,0.5,637592.888,67.047,637861.271,85.372,3198258.837,25285.671
ap,5,0.7,706481.544,182.027,706481.544,137.082,3230916.586,25378.054
ap,6,0.3,535118.044,144.755,534999.727,133.71,3164861.073,25321.283
ap,6,0.5,613297.12,154.188,613297.12,153.828,3209015.025,25387.823
ap,6,0.7,686506.75,410.451,686418.456,150.079,3286180.337,25299.784
ap,7,0.3,508291.52,356.074,508260.972,214.151,3197970.075,25347.102
ap,7,0.5,590896.275,265.826,590933.73,215.458,3252530.349,25335.69
ap,7,0.7,666907.273,347.283,668143.364,103.507,3149352.177,25271.033
ap,8,0.3,482731.103,467.977,483841.092,292.651,3231079.078,25333.049
ap,8,0.5,569627.214,460.359,570158.971,218.225,3148585.693,25364.619
ap,8,0.7,648086.589,324.516,649537.601,205.228,3224457.441,25263.791
ap,9,0.3,462294.325,496.162,462622.792,362.363,3165499.701,25339.326
ap,9,0.5,549679.816,339.95,549830.054,243.396,3217383.015,25268.285
ap,9,0.7,634110.708,448.465,634678.423,220.807,3299562.705,25287.225
ap,10,0.3,445210.339,499.589,445346.947,342.478,499442.241,25379.315
ap,10,0.5,537427.617,480.472,537916.817,231.574,3223470.666,25343.749
ap,10,0.7,623628.969,391.448,625090.284,137.501,3298624.933,25304.189
